"Andrews Air Force Base (ADW), MD",,TADW,,LWX,,346,,
"Atlanta (ATL), GA",,TATL,,FFC,,"1,075",,
"Nashville (BNA), TN",,TBNA,,OHX,,817,,
"Boston (BOS), MA",,TBOS,,BOX,,264,,
"Baltimore/Wash (BWI), MD",,TBWI,,LWX,,342,,
"Charlotte (CLT), NC",,TCLT,,GSP,,871,,
"Columbus (CMH), OH",,TCMH,,ILN,,"1,148",,
"Covington (CVG), OH",,TCVG,,ILN,,"1,053",,
"Dallas Love Field (DAL), TX",,TDAL,,FWD,,622,,
"Dayton (DAY), OH",,TDAY,,ILN,,"1,019",,
"Washington National (DCA), MD",,TDCA,,LWX,,345,,
"Denver (DEN), CO",,TDEN,,BOU,,"5,701",,
"Dallas/Ft. Worth (DFW), TX",,TDFW,,FWD,,585,,
"Detroit (DTW), MI",,TDTW,,DTX,,772,,
"Newark (EWR), NJ",,TEWR,,OKX,,136,,
"Fort Lauderdale (FLL), FL",,TFLL,,MFL,,120,,
"Houston Hobby (HOU), TX",,THOU,,HGX,,116,,
"Dulles (IAD), VA",,TIAD,,LWX,,473,,
"Houston International (IAH), TX",,TIAH,,HGX,,253,,
"Wichita (ICT), KS",,TICH,,ICT,,"1,350",,
"Indianapolis (IND), IN",,TIDS,,IND,,847,,
"New York City (JFK), NY",,TJFK,,OKX,,112,,
"Las Vegas (LAS), NV",,TLAS,,VEF,,"2,058",,
"Cleveland (CLE), OH",,TLVE,,CLE,,931,,
"Kansas City (MCI), MO",,TMCI,,EAX,,"1,090",,
"Orlando International (MCO), FL",,TMCO,,MLB,,169,,
"Chicago Midway (MDW), IL",,TMDW,,LOT,,763,,
"Memphis (MEM), TN",,TMEM,,MEG,,483,,
"Miami (MIA), FL",,TMIA,,MFL,,125,,
"Milwaukee (MKE), WI",,TMKE,,MKX,,933,,
"Minneapolis (MSP), MN",,TMSP,,MPX,,"1,120",,
"New Orleans (MSY), LA",,TMSY,,LIX,,99,,
"Oklahoma City (OKC), OK",,TOKC,,OUN,,"1,308",,
"Chicago O'Hare (ORD), IL",,TORD,,LOT,,744,,
"West Palm Beach (PBI), FL",,TPBI,,MFL,,133,,
"Philadelphia (PHL), PA",,TPHL,,PHI,,153,,
"Phoenix (PHX), AZ",,TPHX,,PSR,,"1,089",,
"Pittsburgh (PIT), PA",,TPIT,,PBZ,,"1,386",,
"Raleigh Durham (RDU), NC",,TRDU,,RAH,,515,,
"Louisville (SDF), KY",,TSDF,,LMK,,731,,
"San Juan (SJU), PR",,TSJU,,SJU,,157,,
"Salt Lake City (SLC), UT",,TSLC,,SLC,,"4,295",,
"St Louis (STL), MO",,TSTL,,LSX,,647,,
"Tampa Bay (TPA), FL",,TTPA,,TBW,,93,,
"Tulsa (TUL), OK",,TTUL,,TSA,,823,,
