STATE,NAME,ID,,,,,,,
AK,ADAK NAS,PADK,,,,,,,
AK,AKHIOK,PAKH,,,,,,,
AK,AKUTAN,PAUT,,,,,,,`
AK,AMBLER,PAFM,,,,,,,
AK,ANAKTUVUK PASS,PAKP,,,,,,,
AK,ANCHORAGE INTL,PANC,,,,,,,
AK,ANCHORAGE/LAKE H,PALH,,,,,,,
AK,ANCHORAGE/MERRIL,PAMR,,,,,,,
AK,ANGOON SEAPLANE,PAGN,,,,,,,
AK,ANIAK,PANI,,,,,,,
AK,ANNETTE ISLAND,PANT,,,,,,,
AK,ANVIK,PANV,,,,,,,
AK,ARCTIC VILLAGE,PARC,,,,,,,
AK,ATKA,PAAK,,,,,,,
AK,ATQASUK BURNELL,PATQ,,,,,,,
AK,BARTER ISLAND,PABA,,,,,,,
AK,BETHEL,PABE,,,,,,,
AK,BETTLES,PABT,,,,,,,
AK,BIG RIVER LAKES,PALV,,,,,,,
AK,BIRCHWOOD,PABV,,,,,,,
AK,BREVIG MISSION,PFKT,,,,,,,
AK,BRYANT ARMY AF,PAFR,,,,,,,
AK,BUCKLAND,PABL,,,,,,,
AK,CANTWELL,PATW,,,,,,,
AK,CAPE LISBURNE,PALU,,,,,,,
AK,CAPE NEWENHAM,PAEH,,,,,,,
AK,CAPE ROMANZOF,PACZ,,,,,,,
AK,CENTRAL,PACE,,,,,,,
AK,CENTRAL,PARL,,,,,,,
AK,CHANDALAR LAKE,PALR,,,,,,,
AK,CHEVAK,PAVA,,,,,,,
AK,CHIGNIK BAY,PAJC,,,,,,,
AK,CHULITNA,PAEC,,,,,,,
AK,CIRCLE/PAFC RFC,PACR,,,,,,,
AK,CLARKS POINT,PFCL,,,,,,,
AK,COLD BAY,PACD,,,,,,,
AK,CORDOVA,PACV,,,,,,,
AK,DEADHORSE,PASC,,,,,,,
AK,DEERING,PADE,,,,,,,
AK,DELTA JUNCTION,PABI,,,,,,,
AK,DILLINGHAM,PADL,,,,,,,
AK,DUTCH HARBOR,PADU,,,,,,,
AK,EAGLE,PAEG,,,,,,,
AK,EARECKSON/SHEMYA,PASY,,,,,,,
AK,EGEGIK,PAII,,,,,,,
AK,EIELSON AFB,PAEI,,,,,,,
AK,ELFIN COVE,PAEL,,,,,,,
AK,ELIM APRT,PFEL,,,,,,,
AK,ELMENDORF AFB,PAED,,,,,,,
AK,EMMONAK,PAEM,,,,,,,
AK,EUREKA,PAZK,,,,,,,
AK,FAIRBANKS,PAFA,,,,,,,
AK,FALSE PASS,PAKF,,,,,,,
AK,FAREWELL LAKE,PAFK,,,,,,,
AK,FORT WAINWRIGHT,PAFB,,,,,,,
AK,FORT YUKON,PFYU,,,,,,,
AK,FUNTER BAY,PAFN,,,,,,,
AK,GALBRAITH LAKE,PAGB,,,,,,,
AK,GALENA,PAGA,,,,,,,
AK,GAMBELL,PAGM,,,,,,,
AK,GOLOVIN,PAGL,,,,,,,
AK,GULKANA,PAGK,,,,,,,
AK,GUSTAVUS,PAGS,,,,,,,
AK,HAINES,PAHN,,,,,,,
AK,HAYES RIVER,PAHZ,,,,,,,
AK,HEALY,PAHV,,,,,,,
AK,HOLY CROSS,PAHC,,,,,,,
AK,HOMER,PAHO,,,,,,,
AK,HOONAH,PAOH,,,,,,,
AK,HOOPER BAY,PAHP,,,,,,,
AK,HUSLIA,PAHL,,,,,,,
AK,HUSLIA,PAHS,,,,,,,
AK,HYDABURG,PAHY,,,,,,,
AK,IGIUGIG,PAIG,,,,,,,
AK,ILIAMNA,PAIL,,,,,,,
AK,INDIAN MOUNTAIN,PAIM,,,,,,,
AK,JUNEAU,PAJN,,,,,,,
AK,KAKE,PAFE,,,,,,,
AK,KALSKAG,PALG,,,,,,,
AK,KALTAG,PAKV,,,,,,,
AK,KENAI,PAEN,,,,,,,
AK,KETCHIKAN,PAKT,,,,,,,
AK,KIANA,PAIK,,,,,,,
AK,KING COVE,PAVC,,,,,,,
AK,KING SALMON,PAKN,,,,,,,
AK,KIPNUK,PAKI,,,,,,,
AK,KIVALINA,PAVL,,,,,,,
AK,KLAWOCK,PAKW,,,,,,,
AK,KODIAK,PADQ,,,,,,,
AK,KOLIGANEK,PAJZ,,,,,,,
AK,KOTZEBUE,PAOT,,,,,,,
AK,KOYUK,PAKK,,,,,,,
AK,KUPARUK,PAKU,,,,,,,
AK,KWETHLUK,PFKW,,,,,,,
AK,MANLEY HOT SPRIN,PAML,,,,,,,
AK,MANOKOTAK,PAMB,,,,,,,
AK,MARSHALL,PADM,,,,,,,
AK,MCCARTHY,PAMX,,,,,,,
AK,MCGRATH,PAMC,,,,,,,
AK,MCKINLEY PARK,PAIN,,,,,,,
AK,MEKORYUK,PAMY,,,,,,,
AK,METLAKATLA,PAMM,,,,,,,
AK,MIDDLETON ISLAND,PAMD,,,,,,,
AK,MINCHUMINA,PAMH,,,,,,,
AK,MOUNTAIN VILLAGE,PAMO,,,,,,,
AK,NABESNA,PABN,,,,,,,
AK,NAPAKIAK,PANA,,,,,,,
AK,NELSON LAGOON,PAOU,,,,,,,
AK,NENANA,PANN,,,,,,,
AK,NEW STUYAHOK,PANW,,,,,,,
AK,NIKOLAI,PAFS,,,,,,,
AK,NOATAK,PAWN,,,,,,,
AK,NOME,PAOM,,,,,,,
AK,NOORVIK,PFNO,,,,,,,
AK,NORTHWAY,PAOR,,,,,,,
AK,NUIQSUT,PAQT,,,,,,,
AK,NUIQSUT,PPNU,,,,,,,
AK,NUIQSUT VILLAGE,PALP,,,,,,,
AK,NUNAPITCHUK,PPIT,,,,,,,
AK,OLIKTOK POINT,POLI,,,,,,,
AK,OOOGURUK ISLAND,PFNU,,,,,,,
AK,PALMER,PAAQ,,,,,,,
AK,PAXSON,PAXK,,,,,,,
AK,PETERSBURG,PAPG,,,,,,,
AK,PILOT POINT,PAPN,,,,,,,
AK,PLATINUM,PAPM,,,,,,,
AK,POINT HOPE,PAPO,,,,,,,
AK,POINT LAY,PPIZ,,,,,,,
AK,POINT THOMPSON,PAAD,,,,,,,
AK,PORTAGE GLACIER,PATO,,,,,,,
AK,PORT ALEXANDER,PAAP,,,,,,,
AK,PORT ALSWORTH,PALJ,,,,,,,
AK,PORT CLARENCE,PAPC,,,,,,,
AK,PORT HEIDEN,PAPH,,,,,,,
AK,PROSPECT CREEK,PAPR,,,,,,,
AK,PRUDHOE BAY,PAUD,,,,,,,
AK,PUNTILLA LAKE,PAPT,,,,,,,
AK,QUINHAGAK,PAQH,,,,,,,
AK,REG DOG,PADG,,,,,,,
AK,REG DOG,PARD,,,,,,,
AK,RUBY,PARY,,,,,,,
AK,RUSSIAN MISSION,PARS,,,,,,,
AK,SAINT MARYS,PASM,,,,,,,
AK,SAND POINT,PASD,,,,,,,
AK,SAVOONGA,PASA,,,,,,,
AK,SCAMMON BAY,PACM,,,,,,,
AK,SELAWIK,PASK,,,,,,,
AK,SELDOVIA,PASO,,,,,,,
AK,SEWARD,PAWD,,,,,,,
AK,SHAGELUK,PAHX,,,,,,,
AK,SHAKTOOLIK,PFSH,,,,,,,
AK,SHISHMAREF,PASH,,,,,,,
AK,SHUNGNAK,PAGH,,,,,,,
AK,SITKA,PASI,,,,,,,
AK,SKAGWAY,PAGY,,,,,,,
AK,SKWENTNA,PASW,,,,,,,
AK,SLANA,PADT,,,,,,,
AK,SLEETMUTE,PASL,,,,,,,
AK,SNOWSHOE LAKE,PALK,,,,,,,
AK,SOLDOTNA,PASX,,,,,,,
AK,SOUTH NAKNEK,PFWS,,,,,,,
AK,SPARREVOHN,PASV,,,,,,,
AK,ST GEORGE,PAPB,,,,,,,
AK,ST MICHAEL,PAMK,,,,,,,
AK,STONY RIVER LAND,PAER,,,,,,,
AK,ST PAUL ISLAND,PASN,,,,,,,
AK,SUTTON,PAJV,,,,,,,
AK,TAHNETNA PASS LO,PASP,,,,,,,
AK,TALKEETNA,PATK,,,,,,,
AK,TANANA,PATA,,,,,,,
AK,TATALINA AFS,PATL,,,,,,,
AK,TELLER,PATE,,,,,,,
AK,TIN CITY AFS,PATC,,,,,,,
AK,TOGIAK,PATG,,,,,,,
AK,TOKSOOK BAY,PAOO,,,,,,,
AK,UMIAT,PAUM,,,,,,,
AK,UNALAKLEET,PAUN,,,,,,,
AK,UTQIAGVIK,PABR,,,,,,,
AK,VALDEZ,PAVD,,,,,,,
AK,VALDEZ WSO,PAVW,,,,,,,
AK,WAINWRIGHT,PAWI,,,,,,,
AK,WALES,PAIW,,,,,,,
AK,WASILLA,PAWS,,,,,,,
AK,WHITE MOUNTAIN,PAWM,,,,,,,
AK,WHITTIER,PAWR,,,,,,,
AK,WILLOW,PAUO,,,,,,,
AK,WOLVERINE ROAD,PAIZ,,,,,,,
AK,WRANGELL,PAWG,,,,,,,
AK,YAKUTAT,PAYA,,,,,,,
AL,ALABASTER,KEET,,,,,,,
AL,ALBERTVILLE MUNI,K8A0,,,,,,,
AL,ALEXANDER/RUSSEL,KALX,,,,,,,
AL,ANDALUSIA/OPP AR,K79J,,,,,,,
AL,ANNISTON,KANB,,,,,,,
AL,AUBURN OPELIKA A,KAUO,,,,,,,
AL,AUBURN UNIV. (AM,KAUB,,,,,,,
AL,BESSEMER,KEKY,,,,,,,
AL,BIRMINGHAM,KBHM,,,,,,,
AL,CENTREVILLE WSM,K0A8,,,,,,,
AL,COURTLAND,K9A4,,,,,,,
AL,CULLMAN/FOLSOM F,K3A1,,,,,,,
AL,CULLMAN/FOLSOM F,KCMD,,,,,,,
AL,DECATUR,KDCU,,,,,,,
AL,DEMOPOLIS,KDYA,,,,,,,
AL,DOTHAN,KDHN,,,,,,,
AL,ENTERPRISE,KEDN,,,,,,,
