OBJECTID,siteID,siteName,State,Latitude,Longitude,radarType,antennaElevation,owner,,,,,,,
1,KABR,ABERDEEN,SD,45.455833,-98.413046,NEXRAD,"1,383",NWS,,,,,,,
2,KABX,ALBUQUERQUE,NM,35.149722,-106.82388,NEXRAD,"5,950",NWS,,,,,,,
3,KAKQ,WAKEFIELD,VA,36.983889,-77.007491,NEXRAD,255,NWS,,,,,,,
4,KAMA,AMARILLO,TX,35.233333,-101.709269,NEXRAD,"3,702",NWS,,,,,,,
5,KAMX,MIAMI,FL,25.610556,-80.413048,NEXRAD,111,NWS,,,,,,,
6,KAPX,NCL MICHIGAN,MI,44.90635,-84.719523,NEXRAD,"1,561",NWS,,,,,,,
7,KARX,LA CROSSE,WI,43.822778,-91.191101,NEXRAD,"1,357",NWS,,,,,,,
8,KATX,SEATTLE,WA,48.194611,-122.495684,NEXRAD,642,NWS,,,,,,,
9,KBBX,BEALE AFB,CA,39.496111,-121.631658,NEXRAD,221,DOD,,,,,,,
10,KBGM,BINGHAMTON,NY,42.199694,-75.984713,NEXRAD,"1,703",NWS,,,,,,,
11,KBHX,EUREKA (BUNKER HILL),CA,40.498333,-124.292158,NEXRAD,"2,515",NWS,,,,,,,
12,KBIS,BISMARCK,ND,46.770833,-100.760268,NEXRAD,"1,755",NWS,,,,,,,
13,KBLX,BILLINGS,MT,45.853778,-108.606796,NEXRAD,"3,702",NWS,,,,,,,
14,KBMX,BIRMINGHAM,AL,33.171944,-86.769713,NEXRAD,759,NWS,,,,,,,
15,KBOX,BOSTON,MA,41.955778,-71.136851,NEXRAD,232,NWS,,,,,,,
16,KBRO,BROWNSVILLE,TX,25.915556,-97.418603,NEXRAD,88,NWS,,,,,,,
17,KBUF,BUFFALO,NY,42.948611,-78.736935,NEXRAD,790,NWS,,,,,,,
18,KBYX,KEY WEST,FL ,24.596944,-81.703325,NEXRAD,89,NWS,,,,,,,
19,KCAE,COLUMBIA,SC,33.948611,-81.118602,NEXRAD,345,NWS,,,,,,,
20,KCBW,CARIBOU,ME,46.039167,-67.806407,NEXRAD,860,NWS,,,,,,,
21,KCBX,BOISE,ID,43.490217,-116.236023,NEXRAD,"3,171",NWS,,,,,,,
22,KCCX,STATE COLLEGE,PA,40.923056,-78.00388,NEXRAD,"2,485",NWS,,,,,,,
23,KCLE,CLEVELAND,OH,41.413056,-81.859991,NEXRAD,860,NWS,,,,,,,
24,KCLX,CHARLESTON,SC,32.655528,-81.042186,NEXRAD,229,NWS,,,,,,,
25,KCRP,CORPUS CHRISTI,TX,27.783889,-97.510825,NEXRAD,142,NWS,,,,,,,
26,KCXX,BURLINGTON,VT,44.511111,-73.166379,NEXRAD,431,NWS,,,,,,,
27,KCYS,CHEYENNE,WY,41.151944,-104.806102,NEXRAD,"6,191",NWS,,,,,,,
28,KDAX,SACRAMENTO,CA,38.501111,-121.677824,NEXRAD,144,NWS,,,,,,,
29,KDDC,DODGE CITY,KS,37.760833,-99.96888,NEXRAD,"2,670",NWS,,,,,,,
30,KDFX,LAUGHLIN AFB,TX,29.2725,-100.28027,NEXRAD,"1,195",DOD,,,,,,,
31,KDGX,JACKSON/BRANDON,MS,32.28,-89.984436,NEXRAD,609,NWS,,,,,,,
32,KDIX,PHILADELPHIA,PA,39.946944,-74.410713,NEXRAD,230,NWS,,,,,,,
33,KDLH,DULUTH,MN,46.836944,-92.209712,NEXRAD,"1,541",NWS,,,,,,,
34,KDMX,DES MOINES,IA,41.731111,-93.722852,NEXRAD,"1,095",NWS,,,,,,,
35,KDOX,DOVER AFB,DE,38.825556,-75.439991,NEXRAD,164,DOD,,,,,,,
36,KDTX,DETROIT,MI,42.7,-83.471658,NEXRAD,"1,216",NWS,,,,,,,
37,KDVN,QUAD CITIES,IA,41.611667,-90.580824,NEXRAD,851,NWS,,,,,,,
38,KDYX,DYESS AFB,TX,32.538333,-99.254159,NEXRAD,"1,581",DOD,,,,,,,
39,KEAX,PLEASANT HILL,MO,38.81025,-94.264463,NEXRAD,"1,092",NWS,,,,,,,
40,KEMX,TUCSON,AZ,31.893611,-110.63027,NEXRAD,"5,318",NWS,,,,,,,
41,KENX,ALBANY,NY,42.586556,-74.064074,NEXRAD,"1,934",NWS,,,,,,,
42,KEOX,FT RUCKER,AL,31.460556,-85.459381,NEXRAD,537,DOD,,,,,,,
43,KEPZ,EL PASO,TX,31.873056,-106.697992,NEXRAD,"4,217",NWS,,,,,,,
44,KESX,LAS VEGAS,NV,35.701111,-114.891381,NEXRAD,"4,947",NWS,,,,,,,
45,KEVX,EGLIN AFB,FL,30.565033,-85.921659,NEXRAD,221,DOD,,,,,,,
46,KEWX,AUSTIN/SAN ANTONIO,TX,29.704056,-98.028603,NEXRAD,767,NWS,,,,,,,
47,KEYX,EDWARDS AFB,CA,35.097778,-117.560741,NEXRAD,"2,872",DOD,,,,,,,
48,KFCX,ROANOKE,VA,37.024167,-80.274158,NEXRAD,"2,965",NWS,,,,,,,
49,KFDR,FREDERICK/ALTUS AFB,OK,34.362194,-98.976659,NEXRAD,"1,315",DOD,,,,,,,
50,KFDX,CANNON AFB,NM,34.634167,-103.618881,NEXRAD,"4,697",DOD,,,,,,,
51,KFFC,ATLANTA,GA,33.363333,-84.565825,NEXRAD,972,NWS,,,,,,,
52,KFSD,SIOUX FALLS,SD,43.587778,-96.72888,NEXRAD,"1,494",NWS,,,,,,,
53,KFSX,FLAGSTAFF (RDA 1),AZ,34.574333,-111.198435,NEXRAD,"7,513",NWS,,,,,,,
54,KFTG,DENVER,CO,39.786639,-104.545797,NEXRAD,"5,609",NWS,,,,,,,
55,KFWS,DALLAS/FT WORTH,TX,32.572778,-97.303131,NEXRAD,776,NWS,,,,,,,
56,KGGW,GLASGOW,MT,48.206361,-106.624683,NEXRAD,"2,384",NWS,,,,,,,
57,KGJX,GRAND JUNCTION (RDA 1),CO,39.062222,-108.213752,NEXRAD,"10,098",NWS,,,,,,,
58,KGLD,GOODLAND,KS,39.366944,-101.700269,NEXRAD,"3,715",NWS,,,,,,,
59,KGRB,GREEN BAY,WI,44.498633,-88.111101,NEXRAD,806,NWS,,,,,,,
60,KGRK,FT HOOD,TX,30.721667,-97.38277,NEXRAD,603,DOD,,,,,,,
61,KGRR,GRAND RAPIDS,MI,42.893889,-85.54488,NEXRAD,875,NWS,,,,,,,
62,KGSP,GREER,SC,34.883306,-82.219825,NEXRAD,"1,068",NWS,,,,,,,
63,KGWX,COLUMBUS AFB,MS,33.896917,-88.329186,NEXRAD,589,DOD,,,,,,,
64,KGYX,PORTLAND,ME,43.891306,-70.256351,NEXRAD,474,NWS,,,,,,,
65,KHDX,HOLLOMAN AFB,NM,33.077,-106.120024,NEXRAD,"4,269",DOD,,,,,,,
66,KHGX,HOUSTON,TX,29.471944,-95.078881,NEXRAD,115,NWS,,,,,,,
67,KHNX,SAN JOAQUIN VALY,CA,36.314167,-119.63213,NEXRAD,340,NWS,,,,,,,
68,KHPX,FT CAMPBELL,KY,36.736667,-87.284991,NEXRAD,624,DOD,,,,,,,
69,KHTX,HUNTSVILLE,AL,34.930556,-86.083603,NEXRAD,"1,859",NWS,,,,,,,
70,KICT,WICHITA,KS,37.654444,-97.443047,NEXRAD,"1,399",NWS,,,,,,,
71,KICX,CEDAR CITY (RDA 1),UT,37.59105,-112.862213,NEXRAD,"10,754",NWS,,,,,,,
72,KILN,CINCINNATI,OK,39.420278,-83.821658,NEXRAD,"1,170",NWS,,,,,,,
73,KILX,LINCOLN,IL,40.1505,-89.336783,NEXRAD,731,NWS,,,,,,,
74,KIND,INDIANAPOLIS,IN,39.7075,-86.280269,NEXRAD,887,NWS,,,,,,,
75,KINX,TULSA,OK,36.175,-95.56413,NEXRAD,749,NWS,,,,,,,
76,KIWA,PHOENIX,AR,33.289167,-111.669992,NEXRAD,"1,426",NWS,,,,,,,
77,KIWX,FORT WAYNE,IN,41.358611,-85.699991,NEXRAD,"1,056",NWS,,,,,,,
78,KJAX,JACKSONVILLE,FL,30.484633,-81.701892,NEXRAD,160,NWS,,,,,,,
79,KJGX,ROBINS AFB,GA,32.675,-83.351103,NEXRAD,618,DOD,,,,,,,
80,KJKL,JACKSON,KY,37.590833,-83.313047,NEXRAD,"1,461",NWS,,,,,,,
81,KLBB,LUBBOCK,TX,33.654139,-101.814159,NEXRAD,"3,377",NWS,,,,,,,
82,KLCH,LAKE CHARLES,LA,30.125306,-93.215881,NEXRAD,137,NWS,,,,,,,
83,KLGX,LANGLEY HILL,WA,47.116928,-124.106606,NEXRAD,354,NWS,,,,,,,
84,KLIX,SLIDELL,LA,30.336667,-89.825409,NEXRAD,179,NWS,,,,,,,
85,KLNX,NORTH PLATTE,NE,41.957944,-100.576212,NEXRAD,"3,112",NWS,,,,,,,
86,KLOT,CHICAGO,IL,41.604444,-88.084435,NEXRAD,760,NWS,,,,,,,
87,KLRX,ELKO (RDA 1),NV,40.739722,-116.802769,NEXRAD,"6,894",NWS,,,,,,,
88,KLSX,ST LOUIS,MO,38.698889,-90.682769,NEXRAD,722,NWS,,,,,,,
89,KLTX,WILMINGTON,NC,33.989167,-78.429159,NEXRAD,145,NWS,,,,,,,
90,KLVX,LOUISVILLE,KY,37.975278,-85.94388,NEXRAD,833,NWS,,,,,,,
91,KLWX,STERLING,VA,38.976111,-77.487491,NEXRAD,404,NWS,,,,,,,
92,KLZK,LITTLE ROCK,AR,34.836389,-92.261936,NEXRAD,649,NWS,,,,,,,
93,KMAF,MIDLAND/ODESSA,TX,31.943461,-102.189242,NEXRAD,"2,961",NWS,,,,,,,
94,KMAX,MEDFORD (RDA 1),OR,42.081111,-122.717352,NEXRAD,"7,559",NWS,,,,,,,
95,KMBX,MINOT AFB,ND,48.3925,-100.864433,NEXRAD,"1,590",DOD,,,,,,,
96,KMHX,MOREHEAD CITY,NC,34.775833,-76.876381,NEXRAD,145,NWS,,,,,,,
97,KMKX,MILWAUKEE,WI,42.967778,-88.550546,NEXRAD,"1,022",NWS,,,,,,,
98,KMLB,MELBOURNE,FL,28.113056,-80.654436,NEXRAD,116,NWS,,,,,,,
99,KMOB,MOBILE,AL,30.679444,-88.239714,NEXRAD,289,NWS,,,,,,,
100,KMPX,MINNEAPOLIS,MN,44.848889,-93.565518,NEXRAD,"1,101",NWS,,,,,,,
101,KMQT,MARQUETTE,MI,46.531111,-87.548323,NEXRAD,"1,524",NWS,,,,,,,
