ID,Name,Latitude,Longitude
CYYC,Calgary International Airport,51.11667,-114.01667
CWVI,Vegreville Automatic Weather Reporting System,53.61667,-112.03333
CWCT,Coronation Automated Reporting Station,52.06667,-111.46667
CWGM,Waterton Park Gate,49.13333,-113.8
CYEG,Edmonton International Airport,53.3,-113.58333
CXEG,"Edmonton International CS , Alta.",53.3,-113.6
CXEC,"Edmonton Municipal CR10 , Alta.",53.56667,-113.51667
CZZJ,EDSON CR10,53.58,-116.47
CXMM,"Fort McMurray CS, Alta.",56.65,-111.21667
CWRM,Rocky House Marine Aviation Reporting Station,52.43333,-114.93333
CWJW,Jasper Warden Automated Reporting Station,52.93333,-118.31667
CWAV,Sundre,51.76667,-114.68333
CWBO,Brooks Automatic Weather Reporting System,50.55,-111.85
CWDK,Claresholm Automatic Weather Reporting System,50.01667,-113.63333
CWDZ,Drumheller East,51.44504,-112.67654
CWFJ,Cardston Automated Reporting Station,49.2,-113.28333
CWGY,Esther 1,51.66667,-110.2
CWLB,Lac La Biche,54.76898,-112.02364
CWOE,Onefour Automatic Weather Reporting System,49.11667,-110.46667
CWRT,Crowsnest,49.63333,-114.48333
CWRY,Milk River,49.13333,-112.05
CWXA,Bow Valley,51.08333,-115.06667
CWXL,Bow Island,49.63333,-111.45
CWZG,Banff Marine Aviation Reporting Station,51.2,-115.55
PABV,"Birchwood, Birchwood Airport",61.41667,-149.51667
PASA,Savoonga Airport,63.68333,-170.5
PAWD,Seward,60.11667,-149.45
PANA,Napakiak Airport,60.6903,-161.9785
PFKW,Kwethluk Airport,60.7903,-161.4437
PFCB,Chenega Bay Airport,60.07856,-147.99473
PASX,Soldotna,60.48333,-151.03333
PPIT,Nunapitchuk Airport,60.906,-162.4406
PABE,"Bethel, Bethel Airport",60.77972,-161.83778
PAJN,"Juneau, Juneau International Airport",58.35472,-134.57611
PAFA,"Fairbanks, Fairbanks International Airport",64.80389,-147.87611
PAOM,"Nome, Nome Airport",64.51194,-165.445
PABI,"Delta Junction/Ft Greely, Allen Army Airfield",64.0,-145.73333
PATA,"Tanana, Calhoun Memorial Airport",65.16667,-152.1
PAFE,Kake - Kake Airport,56.964,-133.913
PASM,"St. Mary's, St. Mary's Airport",62.05,-163.3
PAKT,"Ketchikan, Ketchikan International Airport",55.35556,-131.71361
PAOR,"Northway, Northway Airport",62.96111,-141.92889
PATK,"Talkeetna, Talkeetna Airport",62.32056,-150.09361
PAOT,Ralph Wien Memorial Airport,66.88576,-162.60624
PATG,"Togiac Village, Togiak Airport",59.05,-160.4
PABR,Wiley Post-Will Rogers Memorial Airport,71.28528,-156.76583
PALH,"Anchorage, Lake Hood Seaplane Base",61.18333,-149.96667
PABT,"Bettles, Bettles Airport",66.91667,-151.51667
PAAK,"Atka, Atka Airport",52.22028,-174.20639
PAKI,"Kipnuk, Kipnuk Airport",59.93278,-164.03028
PAAQ,"Palmer, Palmer Municipal Airport",61.6,-149.08333
PABL,"Buckland, Buckland Airport",65.98222,-161.15194
PACZ,"Cape Romanzof, Cape Romanzof LRRS Airport",61.78333,-166.03333
PAED,"Anchorage, Elmendorf Air Force Base",61.25306,-149.79389
PAEH,"Cape Newenham, Cape Newenham LRRS Airport",58.65,-162.06667
PAKU,"Kuparuk, Ugnu-Kuparuk Airport",70.31667,-149.58333
PAEI,"Fairbanks, Eielson Air Force Base",64.65,-147.1
PAFB,Fort Wainwright AAF,64.83667,-147.59556
PAFR,"Ft. Richardson / Bryant U. S. Army Heliport, Ak",61.26667,-149.65
PAGL,"Golovin, Golovin Airport",64.54333,-163.03944
PFYU,"Fort Yukon, Fort Yukon Airport",66.56667,-145.26667
PAHX,Shageluk Airport,62.6923,-159.5692
PAII,"Egegik, Egegik Airport",58.18528,-157.38556
PAIK,Kinana / Bob Baker Me,66.98333,-160.43333
